date, first-team-id, second-team-id, first-team-score, second-team-score
2019-08-09, LIV, NOR, 4, 1
2019-08-10, BOU, SHU, 1, 1
2019-08-10, BUR, SOUT, 3, 0
2019-08-10, CRY, EVE, 0, 0
2019-08-10, TOT, AVL, 3, 1
2019-08-10, WAT, BHA, 0, 3
2019-08-10, WHU, MNC, 0, 5
2019-08-11, LEI, WOLV, 0, 0
2019-08-11, MAN, CHE, 4, 0
2019-08-11, NEW, ARS, 0, 1
2019-08-17, ARS, BUR, 2, 1
2019-08-17, AVL, BOU, 1, 2
2019-08-17, BHA, WHU, 1, 1
2019-08-17, EVE, WAT, 1, 0
2019-08-17, MNC, TOT, 2, 2
2019-08-17, NOR, NEW, 3, 1
2019-08-17, SOUT, LIV, 1, 2
2019-08-18, CHE, LEI, 1, 1
2019-08-18, SHU, CRY, 1, 0
2019-08-19, WOLV, MAN, 1, 1
2019-08-23, AVL, EVE, 2, 0
2019-08-24, BHA, SOUT, 0, 2
2019-08-24, LIV, ARS, 3, 1
2019-08-24, MAN, CRY, 1, 2
2019-08-24, NOR, CHE, 2, 3
2019-08-24, SHU, LEI, 1, 2
2019-08-24, WAT, WHU, 1, 3
2019-08-25, BOU, MNC, 3, 1
2019-08-25, TOT, NEW, 0, 1
2019-08-25, WOLV, BUR, 1, 1
2019-08-31, BUR, LIV, 0, 3
2019-08-31, CHE, SHU, 2, 2
2019-08-31, CRY, AVL, 1, 0
2019-08-31, LEI, BOU, 3, 1
2019-08-31, MNC, BHA, 4, 0
2019-08-31, NEW, WAT, 1, 1
2019-08-31, SOUT, MAN, 1, 1
2019-08-31, WHU, NOR, 2, 0
2019-09-01, ARS, TOT, 2, 2
2019-09-01, EVE, WOLV, 3, 2
2019-09-14, BHA, BUR, 1, 1
2019-09-14, LIV, NEW, 3, 1
2019-09-14, MAN, LEI, 1, 0
2019-09-14, NOR, MNC, 3, 2
2019-09-14, SHU, SOUT, 0, 1
2019-09-14, TOT, CRY, 4, 0
2019-09-14, WOLV, CHE, 2, 5
2019-09-15, BOU, EVE, 3, 1
2019-09-15, WAT, ARS, 2, 2
2019-09-16, AVL, WHU, 0, 0
2019-09-20, SOUT, BOU, 1, 3
2019-09-21, BUR, NOR, 2, 0
2019-09-21, EVE, SHU, 0, 2
2019-09-21, LEI, TOT, 2, 1
2019-09-21, MNC, WAT, 8, 0
2019-09-21, NEW, BHA, 0, 0
2019-09-22, ARS, AVL, 3, 2
2019-09-22, CHE, LIV, 1, 2
2019-09-22, CRY, WOLV, 1, 1
2019-09-22, WHU, MAN, 2, 0
2019-09-28, AVL, BUR, 2, 2
2019-09-28, BOU, WHU, 2, 2
2019-09-28, CHE, BHA, 2, 0
2019-09-28, CRY, NOR, 2, 0
2019-09-28, EVE, MNC, 1, 3
2019-09-28, SHU, LIV, 1, 1
2019-09-28, TOT, SOUT, 2, 1
2019-09-28, WOLV, WAT, 2, 0
2019-09-29, LEI, NEW, 5, 0
2019-09-30, MAN, ARS, 1, 1
2019-10-05, BHA, TOT, 3, 0
2019-10-05, BUR, EVE, 1, 0
2019-10-05, LIV, LEI, 2, 1
2019-10-05, NOR, AVL, 1, 5
2019-10-05, WAT, SHU, 0, 0
2019-10-05, WHU, CRY, 1, 2
2019-10-06, ARS, BOU, 1, 0
2019-10-06, MNC, WOLV, 0, 2
2019-10-06, NEW, MAN, 1, 0
2019-10-06, SOUT, CHE, 1, 4
2019-10-19, AVL, BHA, 2, 1
2019-10-19, BOU, NOR, 0, 0
2019-10-19, CHE, NEW, 1, 0
2019-10-19, CRY, MNC, 0, 2
2019-10-19, EVE, WHU, 2, 0
2019-10-19, LEI, BUR, 2, 1
2019-10-19, TOT, WAT, 1, 1
2019-10-19, WOLV, SOUT, 1, 1
