team-id, played, wins, draws, losses, goals-for, goals-against, goals-difference, points
ARS, 8, 4, 3, 1, 13, 11, 2, 15
AVL, 9, 3, 2, 4, 15, 13, 2, 11
BHA, 9, 2, 3, 4, 9, 12, -3, 9
BOU, 9, 3, 3, 3, 13, 13, 0, 12
BUR, 9, 3, 3, 3, 12, 11, 1, 12
CHE, 9, 5, 2, 2, 19, 14, 5, 17
CRY, 9, 4, 2, 3, 8, 10, -2, 14
EVE, 9, 3, 1, 5, 8, 13, -5, 10
LEI, 9, 5, 2, 2, 16, 8, 8, 17
LIV, 8, 8, 0, 0, 20, 6, 14, 24
MAN, 8, 2, 3, 3, 9, 8, 1, 9
MNC, 9, 6, 1, 2, 29, 9, 20, 19
NEW, 9, 2, 2, 5, 5, 14, -9, 8
NOR, 9, 2, 1, 6, 10, 21, -11, 7
SHU, 8, 2, 3, 3, 7, 7, 0, 9
SOUT, 9, 2, 2, 5, 9, 16, -7, 8
TOT, 9, 3, 3, 3, 15, 13, 2, 12
WAT, 9, 0, 4, 5, 5, 21, -16, 4
WHU, 9, 3, 3, 3, 11, 13, -2, 12
WOLV, 9, 2, 5, 2, 12, 12, 0, 11
